"","Hogwarts.House","First.Name","Last.Name","Birthday","Best.Hand","Arithmancy","Herbology","Defense.Against.the.Dark.Arts","Divination","Muggle.Studies","Ancient.Runes","History.of.Magic","Transfiguration","Potions","Care.of.Magical.Creatures","Charms","Flying"
"1","Hufflepuff","Kylie","Nowak","21/08/2000","Left",48639,5.421045637,-6.889119888,6.593,-234.2079109,339.775154,7.208415443,1034.928004,2.052214874,0.15053171,-244.02063,-54.77
"2","Hufflepuff","Charlotte","Dillon","21/09/2001","Left",82713,3.44283088,-4.536762188,6.738,-831.7411229,383.444937,3.81311094,1087.949205,3.904100126,-0.531874975,-246.19072,-76.81
"3","Gryffindor","Benjamin","Christensen","24/10/1999","Right",63905,-3.203269323,-5.440189246,6.065,-385.1504571,635.2114862,-5.984256503,953.8666847,1.709808221,0.071569226,-251.63679,198.47
"4","Slytherin","Shelli","Lock","12/03/1998","Left",63296,6.061064255,-3.675311737,1.757,-643.2710923,445.8275646,2.238112439,1056.147366,5.825262728,-0.333961998,-246.42719,44.8
"5","Gryffindor","Jung","Blank","14/09/2001","Right",49009,-4.541836795,-3.542800861,5.702,-497.2350661,618.2202126,-5.231721197,964.2198529,3.389086204,-0.649982989,-250.39401,185.83
"6","Hufflepuff","Jeanie","Mora","27/08/1999","Left",22927,5.479485487,-5.999016119,5.543,-525.8832639,467.9504179,5.933211182,1034.394428,9.344053854,1.422886762,-241.9694,71.23
"7","Ravenclaw","Adeline","Church","22/01/1998","Left",79653,5.681106922,4.261754012,6.205,473.8794785,647.238809,6.254227445,1046.815627,7.206155534,0.326725399,-230.80139,-29.82
"8","Gryffindor","Adell","Dodge","17/05/1998","Right",60006,-2.949527373,-3.769207218,7.311,-416.6722937,624.0562152,-6.638366408,954.799304,-0.105303971,0.089692384,-249.35589,193.78
"9","Slytherin","Darrel","Gleason","07/09/1998","Right",63538,-4.997610129,5.077157461,-5.637,-443.7818546,386.0585126,6.990602739,1019.526453,7.696268342,0.049254549,-251.06254,-94.84
"10","Ravenclaw","Chadwick","Hawkins","21/11/1996","Right",28744,6.915328426,5.6951338,3.958,559.775978,543.4311802,2.882075334,1065.526524,5.038939458,-1.268810131,-229.8486,17.86
"11","Hufflepuff","Dionne","Hynes","24/06/2001","Left",39610,4.850930828,-7.082022058,5.66,-504.7778727,417.5204482,4.56862783,1046.345436,6.272775856,0.284932375,-245.03263,28.7
"12","Slytherin","Jessie","Tilley","16/04/1999","Right",42589,-2.208649518,4.925103114,-7.27,-622.9365667,495.74797,2.201185687,1069.012391,9.117247493,0.070295633,-250.91192,-19.5
"13","Hufflepuff","Juliana","Delgadillo","21/07/1999","Right",58123,4.930942492,-5.117493116,4.114,-533.5392285,406.6996908,4.33181857,1053.995913,5.096481052,-0.980838929,-245.77653,-4.11
"14","Slytherin","Earl","Mccloskey","21/01/1999","Left",57566,-8.390447249,4.852497357,-6.04,-522.8820406,370.7988862,6.622655024,1066.781683,11.4858938,-1.650340897,-253.02158,-138.01
"15","Hufflepuff","Eduardo","Maness","25/09/1998","Left",41420,6.791647843,-4.723465374,4.852,-726.0540797,406.0884997,-0.611871929,1065.361166,2.913504186,1.05273986,-244.80315,76.09
"16","Slytherin","Josef","Stoll","14/09/1997","Right",58266,-4.492271897,3.479828609,-6.947,-144.6563022,465.3181707,2.913880877,1020.31247,8.717000065,-0.295048546,-252.38437,-7.64
